rowid,bldgclass,bsmttype,floodtype,ft04m,ft03m,ft02m,ft01m,ft00,ft01,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
714,Y3,Yes,Salt,0.84,1.68,4.2,6.72,8.4,14.4,18,24,25.2,25.2,26.4,28.8,31.2,34.8,39.6,45.6,52.8,61.2,69.6,79.2,86.4,92.4,97.2,100,100,100,100,100,100
715,Y3,No,Fresh,0,0,0,0,0,5,8,13,14,14,15,17,19,22,26,31,37,44,51,59,65,70,74,79,83,87,91,95,98
716,Y3,No,Salt,0,0,0,0,0,6,9.6,15.6,16.8,16.8,18,20.4,22.8,26.4,31.2,37.2,44.4,52.8,61.2,70.8,78,84,88.8,94.8,99.6,100,100,100,100
717,Y4,Yes,Fresh,0.7,1.4,3.5,5.6,7,12,15,20,21,21,22,24,26,29,33,38,44,51,58,66,72,77,81,86,90,94,98,100,100
718,Y4,Yes,Salt,0.84,1.68,4.2,6.72,8.4,14.4,18,24,25.2,25.2,26.4,28.8,31.2,34.8,39.6,45.6,52.8,61.2,69.6,79.2,86.4,92.4,97.2,100,100,100,100,100,100
719,Y4,No,Fresh,0,0,0,0,0,5,8,13,14,14,15,17,19,22,26,31,37,44,51,59,65,70,74,79,83,87,91,95,98
720,Y4,No,Salt,0,0,0,0,0,6,9.6,15.6,16.8,16.8,18,20.4,22.8,26.4,31.2,37.2,44.4,52.8,61.2,70.8,78,84,88.8,94.8,99.6,100,100,100,100
721,Z1,Yes,Fresh,0.7,1.4,3.5,5.6,7,12,15,20,21,21,22,24,26,29,33,38,44,51,58,66,72,77,81,86,90,94,98,100,100
722,Z1,Yes,Salt,0.84,1.68,4.2,6.72,8.4,14.4,18,24,25.2,25.2,26.4,28.8,31.2,34.8,39.6,45.6,52.8,61.2,69.6,79.2,86.4,92.4,97.2,100,100,100,100,100,100
723,Z1,No,Fresh,0,0,0,0,0,5,8,13,14,14,15,17,19,22,26,31,37,44,51,59,65,70,74,79,83,87,91,95,98
724,Z1,No,Salt,0,0,0,0,0,6,9.6,15.6,16.8,16.8,18,20.4,22.8,26.4,31.2,37.2,44.4,52.8,61.2,70.8,78,84,88.8,94.8,99.6,100,100,100,100
725,Z3,Yes,Fresh,1.2,2.4,6,9.6,12,15,17,17,18,20,21,22,23,24,25,27,28,29,31,32,33,34,35,36,37,38,39,40,41
726,Z3,Yes,Salt,1.44,2.88,7.2,11.52,14.4,18,20.4,20.4,21.6,24,25.2,26.4,27.6,28.8,30,32.4,33.6,34.8,37.2,38.4,39.6,40.8,42,43.2,44.4,45.6,46.8,48,49.2
727,Z3,No,Fresh,0,0,0,0,5,8,10,10,11,13,14,15,16,17,18,20,21,22,24,25,26,27,28,29,30,31,32,33,34
728,Z3,No,Salt,0,0,0,0,6,9.6,12,12,13.2,15.6,16.8,18,19.2,20.4,21.6,24,25.2,26.4,28.8,30,31.2,32.4,33.6,34.8,36,37.2,38.4,39.6,40.8
729,Z4,Yes,Fresh,0.7,1.4,3.5,5.6,7,12,15,20,21,21,22,24,26,29,33,38,44,51,58,66,72,77,81,86,90,94,98,100,100
730,Z4,Yes,Salt,0.84,1.68,4.2,6.72,8.4,14.4,18,24,25.2,25.2,26.4,28.8,31.2,34.8,39.6,45.6,52.8,61.2,69.6,79.2,86.4,92.4,97.2,100,100,100,100,100,100
731,Z4,No,Fresh,0,0,0,0,0,5,8,13,14,14,15,17,19,22,26,31,37,44,51,59,65,70,74,79,83,87,91,95,98
